type,template_names,label_fr
GrammaticalConstraint,épithète,Employé comme épithète
Idiomatism,anglicisme,Anglicisme
Idiomatism,gallicisme,Gallicisme
Idiomatism,germanisme,Germanisme
Idiomatism,hispanisme,Hispanisme
Idiomatism,italianisme,Italianisme
Idiomatism,latinisme,Latinisme
Idiomatism,lusitanisme,Lusitanisme
LanguageRegister,enfantin,Langage enfantin
LanguageRegister,familier,Familier
LanguageRegister,informel,Informel
LanguageRegister,populaire,Populaire
LanguageRegister,soutenu;formel,Soutenu
LanguageRegister,très familier,Très familier
LanguageRegister,vulgaire,Vulgaire
LexicalUseDomain,acoustique,Acoustique
LexicalUseDomain,administration,Administration
LexicalUseDomain,aéronautique,Aéronautique
LexicalUseDomain,agriculture,Agriculture
LexicalUseDomain,agronomie,Agronomie
LexicalUseDomain,aïkido,Aïkido
LexicalUseDomain,alchimie,Alchimie
LexicalUseDomain,algèbre,Algèbre
LexicalUseDomain,alpinisme,Alpinisme
LexicalUseDomain,analyse,Analyse
LexicalUseDomain,anatomie,Anatomie
LexicalUseDomain,anthropologie,Anthropologie
LexicalUseDomain,antiquité,Antiquité
LexicalUseDomain,apiculture,Apiculture
LexicalUseDomain,arboriculture,Arboriculture
LexicalUseDomain,archéologie,Archéologie
LexicalUseDomain,architecture,Architecture
LexicalUseDomain,Argadz,Argadz
LexicalUseDomain,armement,Armement
LexicalUseDomain,arts,Arts
LexicalUseDomain,arts martiaux,Arts martiaux
LexicalUseDomain,assurance,Assurance
LexicalUseDomain,astrologie,Astrologie
LexicalUseDomain,astronautique,Astronautique
LexicalUseDomain,astronomie,Astronomie
LexicalUseDomain,astrophysique,Astrophysique
LexicalUseDomain,athlétisme,Athlétisme
LexicalUseDomain,audiovisuel,Audiovisuel
LexicalUseDomain,automatique,Automatique
LexicalUseDomain,automobile,Automobile
LexicalUseDomain,aviation,Aviation
LexicalUseDomain,baby-foot,Baby-foot
LexicalUseDomain,bactériologie,Bactériologie
LexicalUseDomain,badminton,Badminton
LexicalUseDomain,base de données,Base de données
LexicalUseDomain,baseball,Baseball
LexicalUseDomain,basket-ball,Basket-ball
LexicalUseDomain,BD,BD
LexicalUseDomain,beaux-arts,Beaux-arts
LexicalUseDomain,bibliothéconomie,Bibliothéconomie
LexicalUseDomain,bijouterie,Bijouterie
LexicalUseDomain,billard,Billard
LexicalUseDomain,biochimie,Biochimie
LexicalUseDomain,biogéographie,Biogéographie
LexicalUseDomain,biologie,Biologie
LexicalUseDomain,biophysique,Biophysique
LexicalUseDomain,bonsaï,Bonsaï
LexicalUseDomain,botanique,Botanique
LexicalUseDomain,boucherie,Boucherie
LexicalUseDomain,bouddhisme,Bouddhisme
LexicalUseDomain,bourrellerie,Bourrellerie
LexicalUseDomain,bowling,Bowling
LexicalUseDomain,boxe,Boxe
LexicalUseDomain,bridge,Bridge
LexicalUseDomain,calendrier,Calendrier
LexicalUseDomain,calligraphie,Calligraphie
LexicalUseDomain,canoë-kayak,Canoë-kayak
LexicalUseDomain,capoeira,Capoeira
LexicalUseDomain,cartes à jouer,Cartes à jouer
LexicalUseDomain,cartographie,Cartographie
LexicalUseDomain,caséologie,Caséologie
LexicalUseDomain,catch,Catch
LexicalUseDomain,CB,CB
LexicalUseDomain,céramique,Céramique
LexicalUseDomain,charpenterie,Charpenterie
LexicalUseDomain,charronnerie,Charronnerie
LexicalUseDomain,chasse,Chasse
LexicalUseDomain,chimie,Chimie
LexicalUseDomain,chiromancie,Chiromancie
LexicalUseDomain,chirurgie,Chirurgie
LexicalUseDomain,christianisme,Christianisme
LexicalUseDomain,chronologie,Chronologie
LexicalUseDomain,cinéma,Cinéma
LexicalUseDomain,cirque,Cirque
LexicalUseDomain,climatologie,Climatologie
LexicalUseDomain,coiffure,Coiffure
LexicalUseDomain,colorimétrie,Colorimétrie
LexicalUseDomain,commerce,Commerce
LexicalUseDomain,comptabilité,Comptabilité
LexicalUseDomain,construction,Construction
LexicalUseDomain,copropriété,Copropriété
LexicalUseDomain,cordonnerie,Cordonnerie
LexicalUseDomain,cosmétologie,Cosmétologie
LexicalUseDomain,couche application,Couche application
LexicalUseDomain,couche liaison,Couche liaison
LexicalUseDomain,couche physique,Couche physique
LexicalUseDomain,couche présentation,Couche présentation
LexicalUseDomain,couche réseau,Couche réseau
LexicalUseDomain,couche session,Couche session
LexicalUseDomain,couche transport,Couche transport
LexicalUseDomain,course à pied,Course à pied
LexicalUseDomain,couture,Couture
LexicalUseDomain,cricket,Cricket
LexicalUseDomain,cryptographie,Cryptographie
LexicalUseDomain,cryptomonnaie,Cryptomonnaie
LexicalUseDomain,cuisine,Cuisine
LexicalUseDomain,cyclisme,Cyclisme
LexicalUseDomain,dames,Dames
LexicalUseDomain,danse,Danse
LexicalUseDomain,dentisterie,Dentisterie
LexicalUseDomain,dermatologie,Dermatologie
LexicalUseDomain,dessin,Dessin
LexicalUseDomain,diplomatie,Diplomatie
LexicalUseDomain,drogue,Drogue
LexicalUseDomain,droit,Droit
LexicalUseDomain,échafaudage,Échafaudage
LexicalUseDomain,échecs,Échecs
LexicalUseDomain,écologie,Écologie
LexicalUseDomain,économie,Économie
LexicalUseDomain,édition,Édition
LexicalUseDomain,éducation,Éducation
LexicalUseDomain,électoraux,Électoraux
LexicalUseDomain,électricité,Électricité
LexicalUseDomain,électronique,Électronique
LexicalUseDomain,électrotechnique,Électrotechnique
LexicalUseDomain,élevage,Élevage
LexicalUseDomain,embryologie,Embryologie
LexicalUseDomain,entomologie,Entomologie
LexicalUseDomain,équitation,Équitation
LexicalUseDomain,escrime,Escrime
LexicalUseDomain,ethnobiologie,Ethnobiologie
LexicalUseDomain,ethnologie,Ethnologie
LexicalUseDomain,famille,Famille
LexicalUseDomain,fantastique,Fantastique
